cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1,JMETJM,JMU1,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS ,,,X,X,,X,X,X,X,X,,X,,X,X,X,X,,,,X,X,
386,385,Execução da Pena,,,X,X,,X,,X,X,X,,,,X,X,X,X,,,,,,
406,385,Incidentes,,,X,X,,,,X,X,X,,,,X,X,X,X,,,,,,
407,406,Conversão de Pena,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
408,406,Excesso ou Desvio,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
409,406,Anistia,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
410,406,Indulto,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
411,406,Comutação de Pena,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
412,268,Recursos,,,X,X,,X,X,X,X,,X,X,X,X,X,X,X,,,,,X,X
413,412,Agravo de Execução Penal,,,X,X,,,,X,X,,,,,X,X,X,,,,,,,
416,412,Apelação em Mandado de Segurança,,,,X,,,,,X,,,,,,,,,,,,,,
417,412,Apelação Criminal,,,,X,,,X,,X,,,X,,,X,,X,,,,,,
418,412,Carta Testemunhável,,,X,X,,,X,X,X,,,X,,X,X,,,,,,,,
419,412,Correição Parcial Criminal,,,,X,,,X,,X,,,X,,,,,X,,,,,,
420,412,Embargos de Declaração Criminal,,,X,X,,X,X,,,,,X,,X,X,X,X,,,,,,
421,412,Embargos Infringentes e de Nulidade,,,,X,,,,,X,,,,,,X,,X,,,,,,
422,412,Protesto por Novo Júri,,,X,,,,,,,,,,,,,,,,,,,,
424,412,Recurso de Medida Cautelar Criminal,,,,,,,,,,,,,,,,,X,,,,,,
425,412,Recurso de Sentença Criminal,,,,,,,X,,,,,X,,,,,,,,,,,
426,412,Recurso em Sentido Estrito,,,X,X,,,,X,X,,,,,X,X,X,X,,,,,,
427,412,Remessa Necessária Criminal,,,,X,,,X,,X,,,X,,,X,,X,,,,,,
428,412,Revisão Criminal,,,,X,,,X,,X,,,X,,,X,,X,,,,,,
432,331,Desaforamento de Julgamento,,,,X,,,,,X,,,,,,X,,X,,,,,,
433,331,Incidente de Uniformização de Jurisprudência,X,,,X,,,,,X,,X,,X,,X,,,,,,,X,
436,1107,Procedimento do Juizado Especial Cível,,,,,X,X,,,,X,,,,,,,,,,,,,
457,215,Pedido de Uniformização de Interpretação de Lei Cível,X,,,,,,,,,,X,X,X,,,,,,,,,,X
460,197,Recurso Inominado Cível,,,,,,,X,,,,,X,,,,,,,,,,,
547,,PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE ,,,X,X,,,,X,X,,,,,,,,,,,,X,X,
976,1067,Ação Anulatória de Cláusulas Convencionais,,,,,,,,,,,,,,,,,,,X,X,,,
980,1067,Ação de Cumprimento,,,,,,,,,,,,,,,,,,X,,X,,,
985,1067,Ação Trabalhista - Rito Ordinário,,,,,,,,,,,,,,,,,,X,X,X,,,
986,1067,Inquérito para Apuração de Falta Grave,,,,,,,,,,,,,,,,,,X,,,,,
987,1067,Dissídio Coletivo,,,X,X,,,,,,,,,,,,,,,X,X,,,
988,1067,Dissídio Coletivo de Greve,,,,X,,,,,X,,,,,,,,,,X,X,,,
