cdigo,cd_pai,nome,CJF,CNJ,FTR,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTRU,JME,JME1,JMU,JMU1,JT1G,JT2G,JTTST,STF,STJ,TEU
1003,11,Remição,,,,X,,,,,X,,,,,X,X,,,,,,,,
1004,157,Livramento Condicional,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1008,3,Autorização,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1009,1008,Trabalho Externo,,,,X,X,,,,X,X,,,,X,X,,X,,,,,X,
1010,1008,Saída Temporária,,,,X,X,,,,X,X,,,,X,X,,X,,,,,X,
1011,1008,Inclusão em Regime Disciplinar Diferenciado,,,,X,X,,,,X,X,,,,X,X,,,,,,,X,
1013,3,Determinação,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1014,1013,Regressão de Regime,,,,X,X,,,,X,X,,,,X,X,,X,,,,,X,
1015,1013,Suspensão do Processo,,,,X,X,,,,X,X,,,,,,,,,,,X,X,
1016,157,Suspensão Condicional da Pena,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1017,817,Suspensão Condicional da Pena,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1018,1008,Transferência para outro Estabelecimento Penal,,,,X,X,,,,X,X,,,,X,X,,X,,,,,,
1019,1008,Transferência da Execução da Pena,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1042,973,Morte do agente,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
1043,973,"Anistia, graça ou indulto",,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1044,973,Retroatividade de lei,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
1045,973,"Prescrição, decadência ou perempção",,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
1046,973,Renúncia do queixoso ou perdão aceito ,,,,X,X,X,X,,X,X,X,,,,,,,,,,,X,
1047,973,Retratação do agente,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
1048,973,Perdão judicial,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
1049,973,Pagamento integral do débito,,,,X,X,,,,X,X,,,,,,,,,,,,X,
1050,973,Cumprimento da Pena,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
1051,48,Decurso de Prazo,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
1052,48,Bens Apreendidos,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,X,X,
1053,1052,Destinação,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
1054,1052,Destinação Parcial,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
1055,1052,Cadastramento,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,X,X,
1059,1060,Sem efeito suspensivo,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
1060,160,Recurso,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,
1061,48,Disponibilização no Diário da Justiça Eletrônico,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1062,48,Redisponibilização no Diário da Justiça Eletrônico,,X,,,,,,,,,,,,X,X,X,X,,,,X,,
1063,1013,Determinação de arquivamento de procedimentos investigatórios,,X,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,X,X,
10953,218,Pronúncia,,,,X,,,,,X,,,,,,,,,,,,,,
10961,218,Impronúncia,,,,X,,,,,X,,,,,,,,,,,,,,
10962,1013,Regressão de Medida Sócio-Educativa,,,,X,,,,,,,,,,,,,,,,,,,
10963,817,Progressão de Medida Sócio-Educativa,,,,X,,,,,,,,,,,,,,,,,,,
10964,385,Extinção por Cumprimento de Medida Sócio-Educativa,,,,X,,,,,,,,,,,,,,,,,,,
10965,210,Remissão a Adolescente Infrator,,,,X,,,,,,,,,,,,,,,,,,,
