Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,CNJ
10220,10219,CF,39,2008-09-30 15:52:52,,,,Regime Estatutário,X
11936,10220,,,2012-06-06 00:00:00,,,,Cessão,X
11937,10220,,,2012-06-06 00:00:00,,,,Desvio de Função,X
10227,10220,CF,"37, VII",2008-09-30 15:52:52,,,,Direito de Greve,X
10881,10220,Lei 8.112/90,117,2008-09-30 15:52:52,,,,Nepotismo,X
11938,10220,,,2012-06-06 00:00:00,,,,Provimento de Cargos,X
10233,10220,L 8.112/1990,37,2008-09-30 15:52:52,,,,Redistribuição,X
10229,10220,Lei 8.112/90,36,2008-09-30 15:52:52,,,,Remoção,X
10288,10219,,,2008-09-30 15:52:52,,,,Sistema Remuneratório e Benefícios,X
10303,10288,Lei 8.112/90,"Art. 61, V; 73 e 74",2008-09-30 15:52:52,,,,Adicional de Horas Extras,X
10297,10288,L 8.112/1990,42,2008-09-30 15:52:52,,,,Teto Salarial,X
899,,LICCvB,7,,,,,DIREITO CIVIL,X
5626,899,,,2008-09-30 15:52:52,,,,Família,X
10948,5626,Lei 11.340/2006,art. 7º,2008-09-30 15:52:52,2014-02-18 18:43:49,,,Violência Doméstica Contra a Mulher,X
5754,899,Lei 10.406/02 (CCB),"Título I, Capítulo I",2008-09-30 15:52:52,,,,Pessoas naturais,X
15306,5754,Resolução CNJ n. 270/2018,1º,2024-03-15 11:26:37,,,,Nome Social,X
9633,,,,,,,,DIREITO DA CRIANÇA E DO ADOLESCENTE,X
9634,9633,,,2008-09-30 15:52:52,,,,Ato Infracional,X
9648,9634,,,2008-09-30 15:52:52,2021-05-28 14:08:28,,,Periclitação da Vida e da Saúde,X
15310,9648,Código Penal e Estatuto da Criança e do Adolescente,136 (CP); 103 (ECA),2024-03-15 12:04:23,2024-03-15 12:05:07,,,Maus Tratos (art. 136),X
11428,,,,,,,,DIREITO ELEITORAL,X
11557,11428,,,2010-04-20 00:00:00,,,,Administração da Justiça Eleitoral,X
11566,11557,,,2010-04-20 00:00:00,,,,Servidor,X
11583,11428,,,2010-04-20 00:00:00,,,,Eleições,X
15236,11583,Constituição Federal,14,2023-06-16 18:16:43,,,,Assédio Eleitoral,X
6191,,,,,,,,DIREITO INTERNACIONAL,X
15104,6191,Resolução CNJ n. 364; Recomendação CNJ n. 123,"1º e 2º, IV (Resolução 364); 1º (Recomendação 123)",2022-06-10 00:00:00,,,,Corte Interamericana de Direitos Humanos,X
